날짜,제목,내용
2023.06.06.,KT도 새폰 개통해야 온라인 요금제 가입…결합할인 허용,다음달부터 KT 온라인 전용 요금제에 가입하려면 신규 스마트폰 단말기를 구매해 개통해야 한다. 기존에는 약정을 해지하고 요금제를 변경하는 식으로 가입이 가능했다. 6일 이동통신업계에 따르면 다음달 3일부터 KT 가입자에 대한 다이렉트 요금제 가입 조건이 바뀐다. 다이렉트 요금제는 KT 공식...
2023.06.06.,"kt 위즈, 3연승 질주…공동 9위로 단독 꼴찌 탈출","선발 고영표, 7이닝 4피안타 1실점 호투…시즌 4승째 한화 이글스와 공동 9위 도약…8위 키움과도 승차 없어 프로야구 kt 위즈가 3연승을 거두며 9일 만에 단독 꼴찌에서 탈출했다. kt는 6일 부산 사직구장에서 열린 2023 신한은행 쏠(SOL) KBO리그 롯데 자이언츠와 방문경기에서 선발 고영표의 호투에..."
2023.06.06.,"KT, 이중대표 논란...""대표이사 후보자 7월중 확정""","대표 공백으로 박종욱 대표 직무대행 체제로 전환한 KT에 대해 이중 대표 논란이 제기됐다. KT의 제2노조인 KT새노조는 지난 5일 ""KT새노조는 구현모 법적 대표이사와 박종욱 직무대행으로 이중화되어 있는 KT 경영체제에 대해 책임소재를 분명히 하기 위한 법률적 검토에 들어갔다""고 밝혔다. 현재 KT는 구현모 전..."
2023.06.06.,'거인 킬러' 고영표는 사직 2만 관중도 잠재웠다...KT는 3연승-롯데는 2연패 ...,KT 위즈가 3연승을 달리며 공동 9위로 올라섰다. 고영표가 '천적' 다운 면모를 과시했고 타선도 집중력을 과시했다. KT는 6일 부산 사직구장에서 열린 '2023 신한은행 SOL KBO리그' 정규시즌 롯데 자이언츠와의 경기에서 4-1로 승리를 거뒀다. 이로써 KT는 3연승을 달리면서 19승30패2무를 마크했다. 단독...
2023.06.06.,"‘KT 잠수함에 또 한 번 막혔다’… 롯데, 홈 KT 3연전 첫 경기 1-4 패",롯데 자이언츠가 리그 최하위 KT 위즈에 또 한 번 발목을 잡혔다. 롯데는 'KT 잠수함' 사이드암 투수 고영표를 공략하는 데 실패하면서 KT와의 올 시즌 상대 전적에서 3승 4패 열세를 보였다. 롯데는 6일 부산 사직구장에서 열린 2023 신한은행 SOL KBO 리그 KT와의 시즌 7차전에서 1-4로 패했다. 롯데는 현충일에...
2023.06.06.,"부상 털고 돌아온 롯데 렉스, KT 고영표 상대 3번-RF 선발 출전",롯데는 6일 부산 사직야구장에서 열리는 2023 신한은행 SOL KBO리그 KT 위즈와 시즌 7차전에 앞서 외야수 렉스와 내야수 김민수를 1군 엔트리에 등록했다.... 3번타자 겸 우익수로 선발출전해 KT 선발투수 고영표를 상대한다. 렉스의 1군 경기 출전은 지난달 16일 한화 이글스전 이후 3주 만이다. 우측 무릎...
2023.06.06.,[프로야구 부산전적] kt 4-1 롯데,▲ 부산전적(6일) k t 020 000 101 - 4 롯데 000 001 000 - 1 △ 승리투수 = 고영표(4승 3패) △ 세이브투수 = 김재윤(1승 2패 7세이브) △ 패전투수 = 박세웅(3승 2패) (서울=연합뉴스)
2023.06.07.,"KT, 소셜벤처 6곳에 최대 1.5억원 지원…""AI 기술·경영 컨설팅 등 제공""","KT는 한국사회가치연대기금, 임팩트스퀘어와 함께 2023년 KT 따뜻한 기술 더하기 챌린지로 올해 지원을 받게 될 기업을 선발하고 해당 기업들과 협약식을 열었다고 7일 밝혔다. KT 따뜻한 기술 더하기 챌린지는 사회적 문제를 해결하고 사회적 가치 창출에 기여하는 기업을 선발해 사업 실현금을 지원하는 환경..."
2023.06.07.,"KT, 강남구청과 '실외 로봇 배송 서비스 제공 MOU' 체결",KT가 강남구청과 로봇 친화형 미래도시 구현을 위해 '실외 로봇 배송 서비스 제공 MOU'를 체결했다고 7일 밝혔다. 사진은 이상호 KT AI robot사업단 단장(왼쪽)과 강남구청 디지털도시과 김효섭 과장이 MOU를 마치고 기념 촬영하는 모습. 2023.6.7 [KT 제공. 재판매 및 DB 금지]
2023.06.07.,"검찰, ‘일감 몰아주기’ 관련 KT 계열사 대표 소환 조사","KT그룹의 일감 몰아주기 의혹을 수사 중인 검찰이 하청 업체에 일감을 발주하던 시설 관리 부문 계열사 사장을 7일 참고인 신분으로 소환해 조사했다. 법조계에 따르면, 서울중앙지검 공정거래조사부(이정섭 부장검사)는 이날 오후 KT 계열사 대표 C씨를 불러 조사했다. 이날 검찰은 이 계열사가 맡던..."
2023.06.07.,"KT, 강남구청과 로봇 친화형 미래도시 만든다","KT는 서울 강남구청과 함께 로봇 친화형 미래도시 구현을 위해 '실외 로봇 배송 서비스 제공 업무협약(MOU)'을 체결했다고 7일 밝혔다. 이번 협약은 KT의 로봇 기술과 강남구청의 도시 행정능력을 결합해 실외 로봇 배송 서비스를 개발하고, 음식과 생필품 등을 실외 배송 로봇이 배송하는 것을 목표로 한다. 이를..."
