날짜,제목,내용
2023.06.06.,국내 5G 가입자 수 3000만명 돌파...SK텔레콤이 1430만으로 압도적 1위,"이동통신 3사 별 5G 가입자 수= SK텔레콤 1434만5000명, KT 900만2000명, LG유플러스 643만6000명... 5G가입자가 늘어날수록 4차산업혁명의 고도화가 촉진돼 국내 5G(5세대 이동통신) 가입자 수가 3000만명을 넘었다. 그 중 SK텔레콤이 절반에 육박하는 비율을 보였다. 5G는 최대 속도가 20Gbps에..."
2023.06.06.,"SK텔레콤, 국군 장병 통신생활 챙긴다","SK텔레콤이이 6월 호국보훈의 달을 맞아 국군 장병을 위한 다양한 혜택을 선보인다. SKT는 군인 신분 인증앱 '밀리패스' 와 제휴를 통해 군인 요금제 가입 절차를 간소화하고, 장병 뿐 아니라 직업 군인까지 누릴 수 있는 경품 이벤트와 혜택을 마련했다. 군인 고객을 대상으로 20% 요금할인 제도(0 히어로)와..."
2023.06.06.,"디플정, 민간·부처 협업해 정부 전용 AI 추진한다","전날 진행된 TF회의에는 네이버와 카카오, SK텔레콤과 KT 등 국내 초거대 인공지능 기업과 과학기술정보통신부, 행정안전부, 한국지능정보사회진흥원 관계자들이 참석했다. TF 팀장은 하정우 네이버 소장이 맡았다. 이번 TF는 민간·관계부처·공공기관 협업 채널로 ‘정부 전용 초거대 AI’를 활용해 공무원..."
2023.06.06.,유공자 할인에 기부까지…현충일 '착한 가격' 업체 어디?,"여기에 SK텔레콤 통신사 할인, SK텔레콤 멤버십 우주패스 할인 등을 적용하면 최저 1800원에 구입할 수 있다는 설명이다. 채다인 세븐일레븐 마케팅책임은 ""최근 런치플레이션(런치+인플레이션 합성어)으로 편의점에서 도시락을 구매하는 고객이 늘어났다. 호국보훈의 달을 맞아 도시락 구매 고객에게 보훈의..."
2023.06.06.,"‘매치킹’ 이재경, 최고 역사대회 KPGA선수권서 2주 연속우승 도전","지난 4월 GS칼텍스 매경오픈 공동 4위 이후 우리금융 챔피언십 공동 7위, SK텔레콤 오픈 공동 7위, KB금융 리브챔피언십 공동 10위로 안정적인 성적을 내던 끝에 마침내 우승컵까지 들었다. 이재경은 “지금 경기력이 좋아 체력관리만 잘 한다면 충분히 또 한 번 우승할 수 있다고 생각한다. 부족한 것을..."
2023.06.06.,"""보급형 맞아?"" 갤럭시퀀텀4 써보니.. 카메라·배터리 기대 이상 [1일IT템]","SK텔레콤이 삼성전자와 합작한 ‘갤럭시퀀텀4’는 오는 8일 61만8200원에 출시되는 보급형 스마트폰이다. 갤럭시A54 5G를 기반으로 하는 SKT의 양자 보안 스마트폰으로, 양자난수생성(QRNG) 칩세트를 탑재해 각종 앱, 단말 내 인증 정보, 외장 메모리 등을 양자 보안 기술로 암호화하는 것이 특징이다. ■ 베젤..."
2023.06.06.,"SKT·KT, 5G 중간요금 도매제공 임박…관건은 '도매대가'","LG유플러스에 이어 SK텔레콤(SKT)과 KT도 알뜰폰 사업자에게 5G 중간요금제를 도매제공할 것으로 전망된다. 다만 일각에선 LTE 대비 5G 도매대가가 높은 수준에 형성돼 있어, 알뜰폰 요금제가 경쟁력을 가지려면 도매대가 인하가 필요하단 목소리가 나온다. 6일 업계에 따르면 SKT는 이르면..."
2023.06.07.,"SK텔레콤, 국제해양방위산업전 참가…해군 전투력 높이는 통신 기술 전시","SK텔레콤은 7일 부산 벡스코에서 진행되는 국제해양방위산업전(이하 MADEX 2023)에 참가한다고 밝혔다. 부산시와 해군이 공동 주최하는 국제해양방위산업전은 7일부터 사흘간 열린다. 통신 기술과 신소재 등 첨단 기술이 합쳐진 최신 함정과 잠수함, 해양방위 시스템, 통신·보안 등이 전시된다. 올해로..."
2023.06.07.,[통신 소식] SK텔레콤·KT·LG유플러스 外,SK텔레콤이 부산 벡스코에서 3일간 열리는 국제해양방위산업전에 참가해 해군의 전투력을 높이는 통신기술을 선보인다고 합니다. 해군 함정과 육상 항공기지 등에 구축하고 있는 스마트 무선 네트워크 체계를 전시하는 것인데요. SKT는 미래형 스마트 전투함정 구현에 적극적으로 힘을 보탠다는...
2023.06.07.,"SK텔레콤, 국내·외 해군 사업 영역 확대",SK텔레콤(SKT)이 오는 9일까지 사흘간 부산 벡스코에서 열리는 '국제해양방위산업전(MADEX) 2023'에 참가한다. SKT는 이번 전시회에서 △TDD-LTE 시스템 △전용 단말 △사물인터넷(IoT) 서비스 등 해군 함정과 육상 항공기지에 적용 중인 스마트 무선 네트워크 체계를 전시한다고 7일 밝혔다. TDD-LTE는 하나의...
2023.06.07.,"SK텔레콤, 호국보훈의 달 맞아 특화 혜택 선보여",[단박에 - CBC뉴스 | CBCNEWS] SK텔레콤(대표이사 유영상)이 정전협정∙한미동맹 70주년과 6월 호국보훈의 달을 맞아 국군 장병들에 감사함을 담은 다양한 특화 혜택을 선보인다. SKT는 국내 통신사 최초로 군인 신분 인증앱 '밀리패스'와 제휴를 통해 군인 요금제 가입 절차를 간소화했다. 또 현역 장병 뿐...
2023.06.07.,[더벨]SK텔레콤의 미국·일본 전초기지 활용법은,"SK텔레콤이 올 들어 미국과 일본 법인을 해외 사업 전초기지로 적극 활용하고 있다. SK텔레콤 아메리카(SK Telecom Americas, Inc., SKTA)에는 AI B2C 서비스 '에이닷(A.)' 글로벌 진출을 위한 목적으로 추가 출자하기로 했다. 정석근 전 네이버 클로바 CIC 대표를 영입한 데 이어 현지 AI 사업에 힘이 실리고..."
2023.06.07.,"LTE는 내줘도 5G는 못 줘… SK텔레콤, 수익성 방어 사활",알뜰폰 성장에 SK텔레콤 점유율 하락 KT·LG유플러스도 동반 약세 ’고객용 휴대폰·5G 가입자’ 영향력 여전 5G 매출 LTE 대비 1.5배 높아 수익성 좋아 SK텔레콤 “1분기 5G 가입자 전체 고객 60% 넘어” SK텔레콤의 국내 이동전화 시장 점유율이 하락하고 있다. 지난 1월 점유율이 40% 아래로 내려온 후...
2023.06.07.,한풀 꺾인 메타버스…XR과 결합 땐 날개,"SK텔레콤의 ‘이프랜드’는 지난 2월 8일 30만7810명이었던 하루 사용자 수가 올해 5월 7일 18만4216명까지 떨어졌다. 글로벌 빅테크 기업도 메타버스 사업에서 점차 손을 떼고 있다. 월트디즈니는 지난 3월 메타버스 개발 부서를 아예 없앴고, 마이크로소프트(MS)는 메타버스 서비스 ‘알트스페이스’의 VR..."
2023.06.07.,[잇속] SKT·KT·LGU+ 외,"◆SKT, 해군 전투력 높이는 통신기술 선봬 SK텔레콤(017670)은 이달 7일부터 9일까지 3일간 부산 벡스코에서 진행되는 국제해양방위산업전(이하 MADEX 2023)에 참가한다고 7일 밝혔다. 대한민국 해군과 부산광역시가 공동 주최하는 MADEX 2023은 통신기술·신소재 등 첨단기술이 융복합된 최신 함정 등과 통신..."
2023.06.07.,5G 3000만명 시대 개막…0원 요금제에 LTE도 깜짝 반등,"통신사별로는 SK텔레콤이 1434만5003명으로 가장 많았고 KT가 900만2622명, LG유플러스가 643만6643명으로 뒤를 이었다. 각각 전월 대비 19만7339명(1.39%), 12만698명(1.36%), 8만5834명(1.35%) 늘었다. 5G 가입자 수는 2019년 4월 상용화 후 1년 7개월 만인 2020년 11월 1000만명(1093만2363명)을 달성했고 1년..."
