날짜,제목,내용
2023.06.05.,[브리핑] 아모레퍼시픽·LF·이랜드,"포쓰저널 서영길 기자 아모레퍼시픽 직원들이 지난해 태안 청포대 해안 플로깅 후 기념사진을 촬영하고 있다./사진=아모레퍼시픽 ◇ 아모레퍼시픽 라네즈, 세계자연기금과 해양 보전 활동 아모레퍼시픽은 화장품 브랜드 라네즈가 세계자연기금(WWF)과 해양 보전을 위한 파트너십을 맺었다고 5일 밝혔다...."
2023.06.05.,"아모레퍼시픽, 대한모발학회 심포지엄 개최","아모레퍼시픽은 5월 28일 일요일 서초구 더케이호텔 서울에서 열린 대 한모발학회 학술대회에서 심포지엄을 개최했다. 해당 행사에서 아모레퍼시픽은 그동안 이어온 여성 탈모 연구 성과와 제품 개발 사례를 발표하고, 국내외 전문가들과 심도 깊은 논의를 진행했다. 이번 심포지엄은 ‘Hair Loss in..."
2023.06.05.,[AT 유통 소식] 아모레퍼시픽·인터파크쇼핑·쿠팡·한화호텔앤드리조트,"5일 유통업계에 따르면 아모레퍼시픽의 글로벌 브랜드 라네즈가 WWF(세계자연기금)와 해양 보전을 위한 글로벌 파트너십을 체결했다. KGC인삼공사의 뷰티 브랜드 동인비는 ‘1899 워터리 오일 에센스’를 출시, 인터파크쇼핑은 환경의 날을 맞아 ‘녹색소비주간’을 운영한다. 쿠팡은 6월을 시작으로 가전..."
2023.06.05.,아모레퍼시픽미술관 현대미술 소장품 특별전 불안·공포·막연 등 현시대 작가...,"아모레퍼시픽미술관 소장품 특별전 'APMA, CHAPTER FOUR – FROM THE APMA COLLECTION'. 사진은 바바라 크루거의 작품 '무제(영원히)'. 사진/손원태기자 아모레퍼시픽미술관이 오랫동안 보관했던 초콜릿 상자를 꺼내놓았다. 소장품 특별전인 'APMA, CHAPTER FOUR – FROM THE APMA COLLECTION'가 지난달 25일 열린 것이다. 전시는..."
2023.06.05.,"K-뷰티, 중국 대신 북미 대안될까…캐나다 판로 확대 박차",아모레퍼시픽그룹의 설화수는 홀트 렌프류에 이미 입점해 있다. 코트라에 따르면 작년 캐나다의 대(對) 한국 화장품 수입 규모는 전년 대비 20.9% 증가한 6259만 달러(약 609억 원)를 기록했다. 한국은 캐나다 전체 화장품 수입 시장에서 미국과 프랑스에 이은 3위다. 아시아 국가 사이에선 단연 시장점유율 1위다....
2023.06.05.,"뷰티업계, '환경의 날' 맞아 친환경 경영 강화…제품성분·재활용 패키지",생태계 보호를 위한 유해성분 배제 비레디 블루 수분 선크림(아모레퍼시픽) 아모레퍼시픽의 남성 토탈 스타일링 브랜드 '비레디(B.READY)'가 출시한 '블루 수분 선크림'은 해양 생태계 및 산호초 보호를 위해 유해성분을 배제한 리프 프렌들리(Reef Friendly) 제품이다. 선크림을 포함한 블루 비건 라인은...
2023.06.05.,OEM 종목 투자가 뜨겁다! '코스메카 이어 코스맥스',"아모레퍼시픽과 LG생활건강의 주가는 하락세에서 상승세로 전환하지 못하면서 답답한 흐름이다. 특히 아모레퍼시픽은 10만원대, LG생활건강은 50만원대 유지여부를 놓고 치열한 공방전이 진행되고 있어 관심이 높다. 아모레퍼시픽은 5월 31일 104,500원으로 10만원대 이하로 내려갈..."
2023.06.06.,"아모레퍼시픽, 한·중·태국 해안 보전 활동 추진","아모레퍼시픽 브랜드 라네즈는 WWF(세계자연기금)와 해양 보전을 위한 글로벌 파트너십을 체결했다고 5일 밝혔다. 이번 파트너십을 통해 라네즈는 한국, 중국, 태국 3개국에서 해안 보전 활동을 진행하게 된다. 라네즈는 지난 10년간, 글로벌 물 부족 국가의 식수 개선 사업과 지속가능한 물 자원 보호를 위해..."
2023.06.06.,"""직접 눈으로 확인""... 국내 화장품 기업, 글로벌 초청 행사 눈길",사진=1.아모레퍼시픽 2.더마펌 3.티르티르 국내 화장품 기업들이 해외 석학들과 바이어 등을 대상으로 직접 기술력을 소개하는 자리를 확대하며 글로벌 시장 공략에 적극적으로 나서 관심을 모은다. 최근 다양한 심포지엄 개최를 통해 글로벌 시장에 기술력을 소개하고 있는 아모레퍼시픽은 지난...
2023.06.06.,"아모레 에스쁘아·미샤 어퓨, 日큐텐 자외선차단제 순위 휩쓸어","에스쁘아 기능성·어퓨 라인업 호평 4월 판매 데이터 바탕으로 랭킹 발표 아모레퍼시픽 에스쁘아와 미샤 어퓨가 일본에서 제품력을 인정받았다. 에스쁘아와 어퓨에서 출시한 자외선 차단제의 기능성, 다채로운 제품 등이 높이 평가받았다. 6일 업계에 따르면 에스쁘아 워터 스플래시 선크림 세라마이드..."
