날짜,제목,내용
2023.06.05.,"SK텔레콤, 신한카드와 ‘T멤버십’ 고객 위한 제휴카드 출시",SK텔레콤은 5일 신한카드과 T멤버십 이용 고객에게 제휴처 이용 시 멤버십 혜택을 최대한 누릴 수 있는 ‘T멤버십 라이프 신한카드’를 출시했다고 밝혔다. 두 회사는 아웃백스테이크하우스·빕스·파파존스·도미노피자 등 T멤버십과 제휴된 4개 외식 브랜드를 이용할 경우 최대 혜택을 받을 수 있도록...
2023.06.06.,글로벌 경기침체 장기화… 삼성·SK 등 잇따라 전략회의,"“경영 불확실성 확산 방지, 미래사업 점검” 글로벌 경기 침체가 장기화하는 가운데 삼성과 SK 등 주요 기업들이 잇따라 전략회의를 열어 대응책... SK그룹은 15일 경기도 이천의 SKMS연구소에서 ‘2023 확대경영회의’를 연다. SK 확대경영회의는 8월 ‘이천포럼’, 10월 ‘CEO 세미나’와 함께 SK그룹 최고..."
2023.06.06.,기업 '지배구조 핵심지표' 준수율 62%…SK텔레콤은 100% 준수,기업 지배구조 보고서의 핵심지표 준수율이 가장 높은 기업은 SK텔레콤이었다. SK텔레콤은 핵심지표 15개 모두를 준수해 333개 기업 중 유일하게 100% 준수율을 기록했다. 2021년 유일하게 100% 준수율을 기록했던 포스코홀딩스는 지난해 '주주총회 4주 전에 소집공고 실시' 항목을 지키지 않아 93%의 준수율을...
2023.06.06.,[포토]SK시그넷 텍사스 공장서 발언하는 크루즈 국장,아드리아나 크루즈 미국 텍사스주 경제개발국장이 5일(현지시간) 텍사스주 플레이노에 위치한 SK시그넷의 전기차 충전기 생산공장(SSMT) 준공 행사에서 발언하고 있다. SK시그넷은 SK㈜가 지난 2021년 3월 2900억원을 투자해 시그넷EV를 인수한 뒤 사명을 바꾼 회사다. 이번에 준공한 공장은 SK 인수 이후...
2023.06.06.,"SK에코플랜트 자회사, 美 SBA 지속가능 혁신기업 선정",SK에코플랜트 자회사 테스는 '2023 SEAL 지속가능 비즈니스 어워즈(SBA)'에서 '지속가능 혁신' 분야 수상기업으로 선정됐다고 4일 밝혔다. 테스는 전기차 폐배터리 및 전기·전자폐기물 리사이클링 전문기업이다.SBA는 미국 비영리 환경단체 SEAL에서 주관·수여하는 상이다. 2017년부터 매년 지속가능 미래를 위한...
2023.06.06.,국내 5G 가입자 수 3000만명 돌파...SK텔레콤이 1430만으로 압도적 1위,"이동통신 3사 별 5G 가입자 수= SK텔레콤 1434만5000명, KT 900만2000명, LG유플러스 643만6000명... 5G가입자가 늘어날수록 4차산업혁명의 고도화가 촉진돼 국내 5G(5세대 이동통신) 가입자 수가 3000만명을 넘었다. 그 중 SK텔레콤이 절반에 육박하는 비율을 보였다. 5G는 최대 속도가 20Gbps에..."
2023.06.06.,SK온 '10조' 자금 확보 성공···금융계 인사 대거 영입 덕?,SK온이 미국 조지아주에 건설중인 배터리 공장. /사진=SK온 SK이노베이션의 배터리 자회사 SK온이 지난해 초부터 약 10조원의 자금을 끌어모으는 데 성공하면서 그간 공격적으로 금융계 인사를 영입한 행보 덕을 봤다는 평가가 나온다. SK온은 지난해 10월 최고재무책임자(CFO) 김경훈 부사장을 비롯해...
2023.06.07.,"현대차·SK온, 美 조지아주에서 9000억원 규모 지원 받는다",재산세 깎아주고 추가 감세 혜택도 도로 짓고 전용 교육 프로그램 지원 현대자동차그룹과 SK온이 미국에 합작 공장을 건설할 예정인 미국 조지아주 정부로부터 도합 9000억원 규모의 지원을 받을 것으로 알려졌다. 7일 SK온에 따르면 현대차그룹과 SK온은 조지아주 정부로부터 7억달러(약 9100억원)...
2023.06.07.,"현대차, 서울시·SK와 손잡고 수소버스 보급 확대 나서","현대자동차가 서울시, SK E&S, 티맵모빌리티와 친환경 수소버스 보급 확대에 박차를 가한다. 현대차는 7일 서울시청에서 서울시, 환경부, SK E&S, 티맵모빌리티와 함께 서울시의 시내버스와 공항버스, 통근버스 등을 수소버스로 전환하기 위한 ‘수소 모빌리티 선도도시 서울 조성 업무협약(MOU)’을 체결했다...."
2023.06.07.,SK이노 “지난해 3조 규모 사회적 가치 창출”,"SK이노베이션이 지난해 3조원이 넘는 사회적 가치를 창출했다고 7일 밝혔다. SK그룹은 2018년부터 각 관계사들이 사회적 가치를 측정하고 관리할 수 있는 시스템을 구축하고 그 결과를 외부에 공유하고 있다. SK이노베이션을 비롯한 SK그룹 계열사들은 크게 환경 성과, 경제간접 기여 성과, 사회 성과로 나눠..."
