날짜,제목,내용
2023.06.07.,"여수시-한화에어로스페이스, '지역민 우선채용' 협약",전남 여수시와 한화에어로스페이스는 7일 여수시청 시장실에서 '여수산단 지역민 우선채용' 협약을 맺고 상생 협력을 약속했다. 이로써 여수시와 지역민 우선채용 협약을 맺은 여수산단 기업은 22곳으로 늘었다. 이번 협약에 따라 한화에어로스페이스는 지역민 우선 채용을 위해 합리적 제도를 마련하고...
2023.06.07.,"김동관 한화 부회장 ""한화오션, 인위적인 구조조정 없다""","최근 한화그룹에 인수된 한화오션(옛 대우조선해양)은 한화에어로스페이스, 한화시스템 등 그룹의 방산 계열사와 함께 행사에 참여하며 새 간판을 걸고 데뷔식을 치렀다. 김동관 부회장은 한화오션의 부활에 힘을 싣기 위해 이날 오전 경남 거제소에서 임직원 간담회를 마친 뒤 바로 부산에 들렀다. 그는 거제..."
2023.06.07.,"김동관, 한화오션 첫 행사서 ""인위적 구조조정 없다""","이어 ""한화오션이 합류하며 한화에어로스페이스,한화시스템과 함께 많은 분야에서 시너지를 낼 수 있을 것이란 확신을 가지고 있다""며 ""대한민국 대표 방산기업 답게 정도 경영을 펼치며 세계 시장에서 더 확고한 경쟁력을 갖춰나가자""고 강조했다. 차세대 호위함 수주 두고 한화오션·HD현대중 첫 경쟁 시작..."
2023.06.07.,"[르포]별들로 수놓인 ‘마덱스’…한화오션, 첨단 방산기술 대공개","7일 부산 벡스코에서 열린 ‘국제해양방위산업전(MADEX, 마덱스) 2023’ 행사장 한화에어로스페이스 전시 부스에 태국 해병대 사령관과 군 관계자들이 방문하고 있다.(사진=김은경 기자) 한화그룹에서는 한화오션뿐 아니라 한화시스템, 한화에어로스페이스 등 그룹 내 방산기업이 총출동해 전시장을..."
2023.06.07.,"김동관 그룹 부회장 ""한화오션 구조 조정 없다""","김 부회장은 7일 부산 벡스코에서 열린 '국제해양방위산업전(MADEX 2023)'을 찾아 한화오션(옛 대우조선해양)과 한화에어로스페이스·한화시스템 등 계열사 공간을 둘러봤다. 김 부회장은 기자들과의 질의응답 자리에서 한화오션 관련해 ""인위적인 구조 조정 계획은 없다""고 밝혔다. 특히 ""어떻게 보면 어쩔 수 없이..."
2023.06.07.,"한화그룹 김동관 부회장, ""한화오션 적극 투자, 중장기 전략 갖춘다""","이날 김동관 부회장은 메인 게이트 바로 앞에 위치한 한화시스템 부스를 거쳐 한화오션, 한화에어로스페이스의 부스를 차례로 방문하며, 직접 응원하고 격려했습니다. 특히, 김 부회장은 새롭게 가족이 된 한화오션 부스에 가장 오랜 시간을 머무르며 한화오션의 최신 기술이 총 망라된 함정에 대한 설명을..."
2023.06.07.,"김동관 한화그룹 한화오션 출범 뒤 첫 현장경영, 거제사업장·전시관 방문","김 부회장은 한화시스템 부스를 거쳐 한화오션, 한화에어로스페이스의 전시관을 차례로 방문했다. 특히 한화오션 부스에서는 가장 오랜 시간을 머무르며 한화오션의 함정에 관한 설명을 들었다. 김 부회장은 설명을 듣고난 뒤 ""한화오션이 잠수함 분야에서 세계 최고의 기술력을 갖췄을 뿐 아니라 수상함..."
2023.06.08.,땅끝까지 달려간 김동관 부회장…“한화오션에 힘 싣기”,"이날 김 부회장은 부산 벡스코에서 열리는 국제해양방위산업전(MADEX 2023, 마덱스)의 한화그룹 방산 계열사들(한화오션·한화에어로스페이스·한화시스템)의 부스에도 깜짝 등장해 눈길을 끌었다. 한화그룹 방산 3사는 한화오션 출범 이후 처음으로 함께 마덱스에 참가했다. 김 부회장은 3사 부스를 돌아보며..."
2023.06.08.,[세대공감]약자를 경찰에 고소하는 한화에어로스페이스,"나와 같이 고소당한 이모님은 한화에어로스페이스를 청소하다 부당해고되어 복직 투쟁하고 계셨던 분이었고, 나는 그분을 도와 함께 공장 앞에서 현수막과 피켓을 들어주었다. 우리는 2년 5개월을 투쟁했다. 5월 29일 자에 보도되었듯 현장 관리자가 사과하고 업체가 보상안을 제시해 투쟁은 끝이 났다. (잠깐..."
2023.06.08.,"한화그룹 식구 된 한화오션, '집중투표제' 배제할까","한화오션은 지난해 기업지배구조 핵심 지표 이행현황 중 이사회 관련 내용에서 대주주인 한화에어로스페이스, 한화시스템 등과 일부 다른 점이 눈에 띄었다. 그러나 지난달 한화그룹의 일원이 되며 하나씩 발을 맞춰가는 모습이다. 8일 기업지배구조보고서에 따르면 한화오션은 이사 선임 시 집중투표제를..."
2023.06.08.,"여수시-한화에어로스페이스, ‘지역민 우선 채용’ 협약",여수시는 8일 “전날 한화에어로스페이스㈜와 ‘여수산단 지역민 우선채용’ 협약을 체결했다”고 밝혔다.<사진> 이로써 지역인재 채용 동참 기업이 22곳으로 늘었다. 시장실에서 열린 협약식에서 양 기관은 상생 발전과 지역 내 청년 실업 해소·인구 증가 시책 등에 적극 협력할 것을 약속했다. 이번 협약에 따라...
