날짜,제목,내용
2023.06.07.,"전경련, 기업 69.6% CF100 필요성 공감...참여 의향은 17.6%","두산에너빌리티가 핵심 기자재를 제공한다. (사진=두산에너빌리티) 전국경제인연합회(전경련)가 RE100의 대안으로 탄소중립 및 에너지 전환을 위한 글로벌 캠페인으로 CF100이 새롭게 부상하고 있지만, 기업의 인식 수준과 참여 의향은 아직 낮은 것으로 나타났다고 7일 밝혔다. RE100은 기업이..."
2023.06.07.,<단독> ‘47억과 50억 클럽’ 3000억 빌딩 계약의 비밀,"당시 두산중공업(현 두산에너빌리티)은 시공사로 참여했다. 두산중공업은 2011년 5월 분양 지연 등으로 시선바로세움의 대출금 변제가 늦어졌다는 이유를 내세웠다. 이후 두산중공업이 대신 대출금을 변제하는 듯 한 수순이 뒤따랐고, 결과적으로 더케이(두산중공업의 SPC)로 우선수익자가 변경됐다. 이후..."
2023.06.07.,"[데이터로 보는 증시]삼성전자·LG엔솔, 기관·외국인 코스피 순매수 1위(6월...","외국인은 LG에너지솔루션(1304억원)를 비롯해 포스코퓨처엠(003670)(531억원), 삼성SDI(529억원), SK이노베이션(351억원), LG화학(325억원), 코스모신소재(005070)(270억원), 두산에너빌리티(034020)(204억원), OCI홀딩스(010060)(164억원), HMM(011200)(126억원), 삼성물산(028260)(122억원)..."
2023.06.08.,"창원시·두산에너빌리티, SMR산업 육성 협약","창원시와 두산에너빌리티가 오늘(8일) 소형모듈 원자로, SMR산업 육성 협약을 맺었습니다. 이번 협약은 국내 유일 원전 주기기 제작업체인 두산에너빌리티가 SMR 산업을 육성한다는 선언적 의미와 함께, 창원시가 SMR 핵심 도시가 되겠다는 의지를 담고 있다고 창원시는 설명했습니다. 소형모듈 원자로..."
2023.06.08.,"두산에너빌리티 사내협의회, 정법사 보현의 집 방문","두산에너빌리티 사내협의회(협력사 대표 30여명)는 마산합포구 정법사 '보현의 집'을 방문해 물품 전달, 급식 봉사, 도시락 배달 등을 했다고 8일 밝혔다. 두산에너빌리티 사내협의회는 두산에너빌리티와 함께 지역 사회에 참여하고, 소외계층 지원을 통한 사회문제 해결과 예방을 위한 다양한 사회공헌 활동을..."
2023.06.08.,"두산에너빌리티, 기업가치 우상향 전망…3%대 상승",두산에너빌리티가 증권가 호전망에 장 초반 강세를 보인다. 8일 오전 9시39분 코스피 시장에서 두산에너빌리티는 전 거래일보다 570원(3.28%) 오른 1만7970원에 거래 중이다. 하반기부터 시작되는 대형 원전 본계약 등에 대한 기대감이 반영되면서다. 이날 NH투자증권은 두산에너빌리티의 목표주가를 기존...
2023.06.08.,"창원특례시-두산에너빌리티, 'SMR 산업육성 상생협력' 협약 체결 [창원소식]",창원특례시(시장 홍남표)와 두산에너빌리티는 8일 두산게스트하우스에서 신산업 분야인 SMR(소형모듈원자로) 산업육성과 지역 원자력산업 경쟁력 강화를 위한 상생협력 업무협약을 체결했다. 이번 협약은 세계 최고 수준의 기술력을 가진 국내 유일의 원전 주기기 제작업체인 두산에너빌리티가 원자력산업...
2023.06.08.,"두산에너빌리티, 하반기 수주 소식 본격화…목표가↑-NH","NH투자증권은 8일 두산에너빌리티(034020)에 대해 대형 원전 본계약은 하반기부터 시작되며 추가 수주가 예상보다 빠르게 이어질 것으로 내다봤다. 소형모듈원자로(SMR)로 이어지는 중장기 방향성으로 원전 부문의 기업가치가 우상향할 것으로 진단했다. 투자의견은 매수, 목표주가는..."
2023.06.08.,[업앤다운]건설주 하락…두산에너빌리티↑·삼성엔지니어링↓,이날 가장 큰 상승률을 보인 종목은 두산에너빌리티다. 두산에너빌리티는 전일 대비 2.93%(510원)상승한 1만7910원으로 장을 마감했다. 두산에너빌리티는 지난주 상승세와 함께 이번주 연속 상승세가 두드러지고 있다. 동부건설도 전일 대비 1.32%(100원)상승한 7650원으로 장을 마쳤고...
2023.06.08.,[단독] 박용성 전 두산그룹 회장 삼부자 미국 법인 설립 내막,박용성 전 회장은 2015년 두산에너빌리티(옛 두산중공업) 회장과 중앙대학교 이사장에서 퇴임한 이후 특별한 활동을 하지 않고 있다. 두산그룹은 박정원 두산그룹 회장이 2016년 회장에 취임하면서 4세 경영 시대에 접어들었다. 동시에 두산그룹 3세 오너 일가는 대부분 경영 일선에서 물러난 상황이다....
